id,full_name,owner,name,html_url,description,created_at,pushed_at,stars,forks,watchers,open_issues,primary_language,size,license,age_days,stars_per_day,fork_star_ratio,issue_star_ratio,category
1333065091,deepseek-ai/deepseek-harness,deepseek-ai,deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,DeepSeek Harness: Everything is a Plugin.,2026-08-13 11:56:32+00:00,2026-09-10 04:45:36+00:00,218497,25839,218497,0,TypeScript,181243,MIT,27,8092.481481481482,0.118257916584667,0.0,Other
1333321333,anywhere-labs/dsh-desktop,anywhere-labs,dsh-desktop,https://github.com/anywhere-labs/dsh-desktop,为 DeepSeek Harness (DSH) 插件生态打造的现代化桌面端解决方案。万物皆「插件」，桌面本身也是「插件」。,2026-08-13 16:30:50+00:00,2026-09-10 10:59:13+00:00,25087,1205,25087,354,TypeScript,229684,MIT,27,929.1481481481482,0.0480328456969745,0.0141108940885717,Other
1331135699,guillaumemeyer/watermarks-remover,guillaumemeyer,watermarks-remover,https://github.com/guillaumemeyer/watermarks-remover,A privacy-first app that strips AI watermarks from content you own.,2026-08-11 16:32:38+00:00,2026-09-09 01:07:15+00:00,21580,2485,21580,21,Python,1642,MIT,29,744.1379310344828,0.1151529193697868,0.0009731232622798,AI/ML
1333175049,awesome-dsh-plugin/awesome-dsh-plugin,awesome-dsh-plugin,awesome-dsh-plugin,https://github.com/awesome-dsh-plugin/awesome-dsh-plugin,A curated list of plugins for DeepSeek Harness (dsh) · DeepSeek Harness 插件精选列表,2026-08-13 13:55:31+00:00,2026-09-09 03:38:20+00:00,15140,2752,15140,229,Python,80782,CC0-1.0,27,560.7407407407408,0.1817701453104359,0.0151254953764861,Other
1331636953,zhu1090093659/dsh-web,zhu1090093659,dsh-web,https://github.com/zhu1090093659/dsh-web,"DeepSeek Harness (DSH) Web Plugin Aggregation Ecosystem · Everything is a plugin, distributed via the Creative Workshop",2026-08-12 05:15:20+00:00,2026-09-10 10:30:38+00:00,7301,477,7301,11,TypeScript,645205,Apache-2.0,28,260.75,0.0653335159567182,0.0015066429256266,Web
1334586481,yjh051108/dsh-routing-suite,yjh051108,dsh-routing-suite,https://github.com/yjh051108/dsh-routing-suite,"dsh-routing-suite — injector + router-standard kit: install the runtime injector first, then the task-aware reasoning-mode router preset (measured P1-P23).",2026-08-14 21:20:55+00:00,2026-09-04 13:51:03+00:00,7148,162,7148,48,JavaScript,1045,MIT,26,274.9230769230769,0.0226636821488528,0.0067151650811415,Other
1348577064,sapientinc/PRAXIST,sapientinc,PRAXIST,https://github.com/sapientinc/PRAXIST,"Autonomous research system for measurable, computer-executable research.",2026-08-27 14:20:58+00:00,2026-09-09 05:16:58+00:00,6325,608,6325,9,Python,15326,NOASSERTION,13,486.5384615384616,0.0961264822134387,0.0014229249011857,Other
1354310030,lnkiai/m3e-canvas,lnkiai,m3e-canvas,https://github.com/lnkiai/m3e-canvas,Sketch Material 3 Expressive screens in the browser and turn them into vibe-coding prompts.,2026-09-02 04:36:34+00:00,2026-09-09 07:11:58+00:00,5682,544,5682,3,TypeScript,9358,MIT,7,811.7142857142857,0.0957409362900387,0.0005279831045406,Web
1341759590,MengTo/threeui,MengTo,threeui,https://github.com/MengTo/threeui,Open-source ThreeUI Community catalog with live interactive components and complete Community source.,2026-08-21 11:56:39+00:00,2026-09-03 05:36:26+00:00,5495,538,5495,8,HTML,42596,MIT,19,289.2105263157895,0.0979071883530482,0.0014558689717925,Web
1338470635,s1dashu/ip-as-logo-skill,s1dashu,ip-as-logo-skill,https://github.com/s1dashu/ip-as-logo-skill,"A compact Agent Skill for highly simplified, rounded, subtly neo-skeuomorphic IP mascot logos.",2026-08-18 13:59:23+00:00,2026-08-22 16:48:59+00:00,5113,258,5113,9,Unknown,29787,MIT,22,232.4090909090909,0.0504596127518091,0.0017602190494817,AI/ML
1333165619,dataelement/dsh-desktop,dataelement,dsh-desktop,https://github.com/dataelement/dsh-desktop,DSHDesktop：DeepSeek Harness Desktop / DeepSeek Harness 桌面版,2026-08-13 13:45:50+00:00,2026-09-10 10:35:40+00:00,4858,252,4858,95,TypeScript,250742,MIT,27,179.92592592592592,0.0518731988472622,0.0195553725813091,AI/ML
1336502227,CopilotKit/OpenBot,CopilotKit,OpenBot,https://github.com/CopilotKit/OpenBot,"Open-source AI coworkers that each get a computer of their own: a browser, files and tools, with every action decided before it happens and recorded after. Bring any AG-UI agent.",2026-08-17 00:44:59+00:00,2026-09-10 02:58:56+00:00,4589,570,4589,43,TypeScript,3669,MIT,23,199.5217391304348,0.1242100675528437,0.0093702331662671,AI/ML
1331728719,Hisn00w/ASu-skills,Hisn00w,ASu-skills,https://github.com/Hisn00w/ASu-skills,🚀面向求职与开发场景的实用 AI Skills 集合，支持简历优化、岗位投递、面试准备与开发提效。,2026-08-12 07:12:05+00:00,2026-09-10 06:11:00+00:00,4230,254,4230,12,HTML,16538,MIT,28,151.07142857142858,0.060047281323877,0.0028368794326241,AI/ML
1332080070,dmmulroy/anti-slop,dmmulroy,anti-slop,https://github.com/dmmulroy/anti-slop,Opinionated Oxlint rules for rejecting low-evidence TypeScript and JavaScript patterns,2026-08-12 13:48:50+00:00,2026-09-09 12:12:10+00:00,4203,92,4203,3,TypeScript,105,MIT,28,150.10714285714286,0.0218891268141803,0.0007137758743754,Other
